park_id,osm_type,osm_id,name,latitude,longitude,state,addr:housenumber,addr:street,addr:city,addr:postcode,website,phone,email,tourism,source_primary,operator_brand,operator_company,operator_source_url,source_secondary,nsw_parcels_count,nsw_parcel_ids,nsw_area_sum_sqm,land_parcel_ids,land_area_sqm,land_area_source,qld_parcels_count,category,confidence,needs_review,date_collected_utc
osm:node:18261426,node,18261426.0,Silver Beach Tourist Park,-34.0090697,151.1973595,NSW,,,,,,,,motel,osm_overpass,,,,,33,,,91/DP7632;86/DP7632;85/DP7632;84/DP7632;83/DP7632;106/DP800513;105/DP800513;104/DP800513;19/DP270765;1/DP270765;12/DP270765;6/DP270765;5/DP270765;2/DP270765;18/DP270765;15/DP270765;17/DP270765;16/DP270765;14/DP270765;13/DP270765;7/DP270765;8/DP270765;9/DP270765;11/DP270765;10/DP270765;SP90896;SP90895;90/DP7632;87/DP7632;3/DP1165618;3/DP1280536;1/DP1280536;2/DP1280536,70680368.77,nsw_dcdb,0,unknown,0.6,1,2025-09-12T00:58:35.653850
osm:node:25956464,node,25956464.0,Mungo Brush,-32.5429109,152.3097426,NSW,,,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/mungo-brush-campground,,,camp_site,osm_overpass,,,,,1,,,18/DP753162,213813.93,nsw_dcdb,0,camp,0.6,0,2025-09-12T00:58:35.653850
osm:node:25956581,node,25956581.0,Dees Corner Camping Area,-32.5385307,152.3165022,NSW,,,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/dees-corner-campground,,,camp_site,osm_overpass,,,,,3,,,4/DP405688;1/DP568487;2/DP568487,687183.83,nsw_dcdb,0,camp,0.6,0,2025-09-12T00:58:35.653850
